state,Coastal Storm,Earthquake,Fire,Flood,Hurricane,Mud/Landslide,Other,Severe Ice Storm,Severe Storm,Snowstorm,Tornado,Tropical Storm,Winter Storm
AK,0,0,0,13,0,1,0,0,10,0,0,0,0
AL,0,0,0,0,0,0,0,0,33,0,0,0,0
AR,0,0,0,0,0,0,0,0,7,0,5,0,13
AS,0,0,0,0,0,0,0,0,1,0,0,0,0
AZ,0,0,0,4,0,0,0,0,2,0,0,0,0
CA,0,1,8,44,6,0,0,0,48,0,0,1,1
CO,0,0,1,14,0,0,0,0,0,0,0,0,0
CT,0,0,0,0,7,0,0,0,0,0,0,0,0
DE,0,0,0,0,1,0,0,0,0,0,0,0,0
FL,0,0,0,1,187,0,0,0,0,0,0,0,0
GA,0,0,0,0,32,0,0,0,18,0,0,0,0
GU,0,0,0,0,1,0,0,0,0,0,0,0,0
HI,0,0,2,1,0,0,0,0,2,0,0,0,0
IA,0,0,0,7,0,0,0,0,25,0,0,0,0
ID,0,0,0,0,0,0,0,0,4,0,0,0,0
IL,0,0,0,2,0,0,0,0,22,0,0,0,0
IN,0,0,0,0,0,0,0,0,13,0,0,0,0
KS,0,0,0,0,0,0,0,0,75,20,0,0,0
KY,0,0,0,92,0,0,0,45,101,0,23,0,0
LA,0,0,0,7,64,0,0,64,0,0,0,0,0
MA,0,0,0,0,0,0,0,0,0,5,0,0,0
ME,3,0,0,10,0,0,0,0,6,0,0,0,0
MI,0,0,0,0,0,0,0,0,5,0,0,0,0
MN,0,0,0,45,0,0,0,0,46,0,0,0,0
MO,0,0,0,4,0,0,0,0,61,0,0,0,0
MP,0,0,0,0,0,0,0,0,0,0,0,3,0
MS,0,0,0,0,82,0,0,37,37,0,0,0,0
MT,0,0,2,25,0,0,5,0,0,0,0,0,0
NC,0,0,0,0,11,0,0,0,0,0,0,0,0
ND,0,0,0,21,0,0,0,0,49,7,0,0,0
NE,0,0,0,0,0,0,0,0,59,0,0,0,0
NH,0,0,0,9,0,0,0,0,5,0,0,0,0
NJ,0,0,0,0,21,0,0,0,1,5,0,0,0
NM,0,0,7,0,0,0,0,0,0,0,0,0,0
NV,0,0,0,6,0,0,0,0,0,0,0,0,0
NY,0,0,0,0,23,0,0,0,9,5,0,0,0
OK,0,0,0,0,0,0,0,77,34,0,3,0,0
OR,0,0,0,0,0,1,0,0,7,0,0,0,0
PA,0,0,0,0,13,0,0,0,0,0,0,0,0
PR,0,0,0,5,78,0,0,0,0,0,0,0,0
RI,0,0,0,0,0,0,0,0,0,6,0,0,0
SC,0,0,0,0,46,0,0,0,0,0,0,0,0
SD,0,0,0,11,0,0,0,0,28,0,0,0,19
TN,0,0,0,4,0,0,0,13,82,0,38,0,11
TX,0,0,0,0,0,0,0,254,0,0,0,0,23
VA,0,0,0,1,0,0,0,33,30,0,0,0,0
VT,0,0,0,17,0,0,0,0,8,0,0,0,0
WA,0,0,1,36,0,0,0,0,9,0,0,0,0
WV,0,0,0,8,0,0,0,5,1,0,0,0,0
WY,0,0,0,1,0,0,0,0,0,0,0,0,0
